"Label","InputSize","Result","Time","Space","Variables","Ratio"
"ams",10000000,3.3102341920374706e10,15.795021524,1.888378577e9,1000,0.1
"ams",10000000,2.9784302059496567e10,18.392102136,1.877105793e9,1000,0.1
"ams",10000000,3.1621254396248535e10,18.499772477,1.879669169e9,1000,0.1
"ams",10000000,3.279685380116959e10,18.522454311,1.880610161e9,1000,0.1
"ams",10000000,3.333882147024504e10,18.342836411,1.884348065e9,1000,0.1
"ams",10000000,3.2163878020713463e10,18.501752187,1.880880433e9,1000,0.15
"ams",10000000,3.277864168618267e10,18.392627987,1.883531569e9,1000,0.15
"ams",10000000,3.1553041474654377e10,18.491101868,1.879049905e9,1000,0.15
"ams",10000000,3.1373967517401394e10,18.713064458,1.878379217e9,1000,0.15
"ams",10000000,3.072311778290993e10,18.436484526,1.878988849e9,1000,0.15
"ams",10000000,3.270161142857143e10,18.312714025,1.883319665e9,1000,0.2
"ams",10000000,3.1609859154929577e10,18.532083758,1.876375825e9,1000,0.2
"ams",10000000,3.298121034077556e10,18.335269702,1.882424577e9,1000,0.2
"ams",10000000,3.513926315789474e10,18.439130321,1.887047633e9,1000,0.2
"ams",10000000,3.10796018735363e10,18.357366686,1.877909473e9,1000,0.2
"ams",10000000,3.179337962962963e10,17.830982683,1.880242497e9,1000,0.25
"ams",10000000,2.985422018348624e10,18.011677169,1.876886721e9,1000,0.25
"ams",10000000,3.2943395565927654e10,17.981644728,1.882775585e9,1000,0.25
"ams",10000000,2.9917310344827587e10,17.789723723,1.877641169e9,1000,0.25
"ams",10000000,3.487965761511216e10,18.164582591,1.884493041e9,1000,0.25
"ams",10000000,3.1891336459554512e10,18.442387984,1.879545825e9,1000,0.3
"ams",10000000,3.126801156069364e10,18.674327445,1.880082385e9,1000,0.3
"ams",10000000,3.0401438356164383e10,18.43427113,1.879190481e9,1000,0.3
"ams",10000000,3.0967857974388824e10,18.66865772,1.876553553e9,1000,0.3
"ams",10000000,3.2041100591715977e10,18.629699827,1.879226353e9,1000,0.3
"ams",10000000,3.346218009478673e10,18.572191527,1.882375473e9,1000,0.35
"ams",10000000,3.11059410430839e10,18.525727614,1.881384881e9,1000,0.35
"ams",10000000,3.053897494305239e10,18.517511833,1.879447553e9,1000,0.35
"ams",10000000,3.1586528925619835e10,18.554009261,1.877804049e9,1000,0.35
"ams",10000000,3.2246299765807964e10,18.493554622,1.880664369e9,1000,0.35
"ams",10000000,3.3159929906542057e10,18.489997044,1.882728705e9,1000,0.4
"ams",10000000,3.187369690011481e10,18.594319713,1.881528817e9,1000,0.4
"ams",10000000,3.2632491103202847e10,18.576787515,1.879763233e9,1000,0.4
"ams",10000000,3.124795637198622e10,18.448254361,1.880797425e9,1000,0.4
"ams",10000000,3.282786046511628e10,18.772282724,1.881794113e9,1000,0.4
"ams",10000000,2.9376811926605503e10,18.659578953,1.874687281e9,1000,0.45
"ams",10000000,3.1980623556581985e10,18.526499364,1.882218737e9,1000,0.45
"ams",10000000,3.201119677790564e10,18.697404026,1.880910625e9,1000,0.45
"ams",10000000,3.2572750582750584e10,18.711672122,1.880879505e9,1000,0.45
"ams",10000000,3.120373410404624e10,18.685523847,1.879336097e9,1000,0.45
"ams",10000000,3.054447795823666e10,18.597590061,1.877429585e9,1000,0.5
"ams",10000000,3.445611045828437e10,19.080735513,1.883579201e9,1000,0.5
"ams",10000000,3.227955399061033e10,18.876970891,1.880281681e9,1000,0.5
"ams",10000000,3.082626423690205e10,18.867569368,1.877565841e9,1000,0.5
"ams",10000000,3.1156529209621994e10,18.796365824,1.880205297e9,1000,0.5
"ams",10000000,3.217148061104583e10,18.742699526,1.879991537e9,1000,0.55
"ams",10000000,3.1336697459584297e10,18.970495361,1.878713409e9,1000,0.55
"ams",10000000,2.938579661016949e10,18.557027991,1.877672625e9,1000,0.55
"ams",10000000,3.288010501750292e10,18.765523694,1.881613633e9,1000,0.55
"ams",10000000,3.0083682983682983e10,18.505523636,1.876875009e9,1000,0.55
"ams",10000000,2.9863037542662117e10,18.285404192,1.876700609e9,1000,0.6
"ams",10000000,3.1640906976744186e10,18.177943664,1.880710545e9,1000,0.6
"ams",10000000,3.188639115250291e10,18.081954857,1.880158321e9,1000,0.6
"ams",10000000,3.2211435294117645e10,17.999547647,1.880039345e9,1000,0.6
"ams",10000000,3.1878822857142857e10,18.138936627,1.881469425e9,1000,0.6
"ams",10000000,3.2325406360424026e10,18.598907126,1.879960689e9,1000,0.65
"ams",10000000,3.09435103926097e10,18.718318788,1.879250449e9,1000,0.65
"ams",10000000,3.0145191011235954e10,18.940432479,1.878759521e9,1000,0.65
"ams",10000000,2.9966345062429058e10,18.656740794,1.876799521e9,1000,0.65
